epoch,train_loss,val_loss,val_acc,val_recall,val_precision,val_f1
0,0.9477005783946588,0.8464848945103259,0.5761821366024519,0.5831126313845021,0.6468579258498973,0.6063382687801576
1,0.6455394123606237,0.7265224088303053,0.6164623467600701,0.6367243343105947,0.6858153262504185,0.6558120222790284
2,0.35938334596872434,0.811775309557255,0.6339754816112084,0.6562128193228933,0.6939190622168239,0.672085054468282
3,0.13128610171028463,0.9615061515632318,0.660245183887916,0.68117691352444,0.7117483423292249,0.6945426760249247
4,0.046128313800795684,1.0576094812770649,0.6637478108581436,0.6841131105869934,0.7099705109037799,0.6956325824624362
5,0.03655850208408076,1.1684780953853227,0.6567425569176882,0.6853504055740403,0.7064834205933682,0.691303416419646
6,0.08224363553823608,1.0696988430937617,0.6392294220665499,0.6677143095732919,0.6849786981201249,0.6714894748394716
7,0.06132079805465732,1.2410375199259476,0.626970227670753,0.6640600251986805,0.6643681979873316,0.6595122643561925
8,0.03395298192790737,1.1716530559985734,0.6462346760070052,0.668229447953113,0.690668945823585,0.6779430662925808
9,0.012516324389995163,1.2499728427250623,0.6409807355516638,0.6704225687924379,0.6843100152836573,0.6762036001295222
10,0.00582093946807873,1.2535297257887712,0.6409807355516638,0.6722499688928175,0.6882492532590211,0.6772160998156315
11,0.003972124174238067,1.2544660565105712,0.6304728546409807,0.6635663222610104,0.6771054919576874,0.6677751374691129
12,0.002869772648675823,1.251727027149835,0.649737302977233,0.6793780558042507,0.6963600486262219,0.6856686821561814
13,0.0021416786313118137,1.2496619156697168,0.647985989492119,0.6779974184620712,0.6913090993886971,0.6821399588441586
14,0.0020944742568284338,1.254275238242542,0.637478108581436,0.6726187272746342,0.6735276419486946,0.6704148987851459
15,0.0029172889989863165,1.2809209098122791,0.6392294220665499,0.674124309172667,0.6757057857659916,0.6714753716117751
16,0.0017774865025429252,1.2803660091502027,0.6409807355516638,0.6738524687926614,0.683962941425628,0.6762712580969698
17,0.001954466461198281,1.2799784959719602,0.6409807355516638,0.6755049465148465,0.6764901764901765,0.6733193325307011
18,0.0014827956191675702,1.2752007370237293,0.6409807355516638,0.6753300241366519,0.6748930406825143,0.6740653751129174
19,0.0016917166197827503,1.308282527531091,0.6392294220665499,0.6740993202614963,0.6772457951070336,0.6725002009775983
