epoch,train_loss,val_loss,val_acc,val_recall,val_precision,val_f1
0,0.979206656240028,1.0483381019582263,0.425569176882662,0.4795128469081294,0.42935485011802804,0.4274216129677257
1,0.811587089934581,0.9814318773416629,0.4868651488616462,0.5280818334111944,0.4833688588693284,0.48710744837224995
2,0.7143559713557891,0.9246325644219193,0.500875656742557,0.5557766539263339,0.4962419806169806,0.5037077998184655
3,0.6298927042863373,0.8956896554150222,0.4938704028021016,0.5550366153459769,0.4927487683355148,0.4981620341156516
4,0.5547366368890696,0.8853015237848312,0.51138353765324,0.5753029661894874,0.5035953556517031,0.5019534728721419
5,0.47944206056812066,0.8933319661329172,0.51138353765324,0.5772802997568912,0.5072563100508647,0.5119472683585777
6,0.4085089926441876,0.8885528501612501,0.5499124343257443,0.6122087222877418,0.545520335793892,0.5513249970667005
7,0.3333488731362347,0.9180546026096243,0.5621716287215411,0.62855806130525,0.5658609615269932,0.5550091447566625
8,0.26988656409623274,0.8972676408896304,0.5691768826619965,0.6212856003863881,0.5679693911116498,0.5645245660451859
9,0.18920880054832287,0.8869123371699645,0.5866900175131349,0.6437541849978384,0.586784553720582,0.5880575216267835
10,0.15134241124203054,0.9142873084691276,0.5884413309982487,0.6241773790861956,0.6131862275747169,0.6047806146665056
11,0.10759286234906719,0.9392926483145946,0.5849387040280211,0.6261986151901975,0.6086233580190067,0.606061213640161
12,0.08607359886972256,0.9768793224348913,0.6007005253940455,0.6343915965272062,0.6222786661797253,0.6171867237995754
13,0.065382569067203,1.0209180977058494,0.6059544658493871,0.6407607312328548,0.6250389375306759,0.6295611492499363
14,0.03734099955195614,1.1086203998734363,0.5919439579684763,0.6308683319941913,0.6158529424258553,0.6204349708113844
15,0.03669605996790968,1.1729170652122716,0.6164623467600701,0.6463143447984865,0.6353871464708903,0.6389595621446411
16,0.038204677285487015,1.2957064860782566,0.6077057793345009,0.6456712242199405,0.6158989476353494,0.6276715173613691
17,0.026718156178903277,1.360198067700174,0.6094570928196147,0.6395391402863145,0.6341366236103078,0.6359166083909193
18,0.02667515192497432,1.3677915736067316,0.6304728546409807,0.6531516777044866,0.6657814620539156,0.6584043628207098
19,0.028130642594088342,1.509692488091422,0.6059544658493871,0.636378043023225,0.6318371454612529,0.6340559836315355
